,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
109,2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,W,3,0,Everton,1.8,0.9,49,"38,835",Hugo Lloris,3-5-1-1,Graham Scott,Match Report,,2017-2018,2017-2018,2017-2018
110,2017-09-13,19:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,de Dortmund,1.2,0.8,33,"67,343",Hugo Lloris,5-4-1,Gianluca Rocchi,Match Report,,2017-2018,2017-2018,2017-2018
111,2017-09-16,17:30 ,Premier League,Matchweek 5,Sat,Home,D,0,0,Swansea City,1.1,0.2,75,"65,366",Hugo Lloris,3-5-1-1,Mike Dean,Match Report,,2017-2018,2017-2018,2017-2018
112,2017-09-19,20:00 ,EFL Cup,Third round,Tue,Home,W,1,0,Barnsley,,,73,"23,826",Jan Vertonghen,4-2-3-1,Tim Robinson,Match Report,,2017-2018,2017-2018,2017-2018
113,2017-09-23,12:30 ,Premier League,Matchweek 6,Sat,Away,W,3,2,West Ham,1.2,0.6,51,"56,988",Hugo Lloris,3-5-1-1,Michael Oliver,Match Report,,2017-2018,2017-2018,2017-2018
114,2017-09-26,21:45 ,Champions Lg,Group stage,Tue,Away,W,3,0,cy APOEL FC,1.8,1.0,58,"16,324",Hugo Lloris,5-3-2,Pavel Královec,Match Report,,2017-2018,2017-2018,2017-2018
115,2017-09-30,12:30 ,Premier League,Matchweek 7,Sat,Away,W,4,0,Huddersfield,1.5,0.2,59,"24,169",Hugo Lloris,3-4-3,Niel Swarbrick,Match Report,,2017-2018,2017-2018,2017-2018
116,2017-10-14,15:00 ,Premier League,Matchweek 8,Sat,Home,W,1,0,Bournemouth,1.8,0.2,72,"73,502",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,2017-2018,2017-2018,2017-2018
117,2017-10-17,20:45 ,Champions Lg,Group stage,Tue,Away,D,1,1,es Real Madrid,0.9,2.9,34,"76,589",Hugo Lloris,5-3-2,Szymon Marciniak,Match Report,,2017-2018,2017-2018,2017-2018
118,2017-10-22,16:00 ,Premier League,Matchweek 9,Sun,Home,W,4,1,Liverpool,2.0,0.6,37,"80,827",Hugo Lloris,3-5-2,Andre Marriner,Match Report,,2017-2018,2017-2018,2017-2018
119,2017-10-25,20:00 ,EFL Cup,Fourth round,Wed,Home,L,2,3,West Ham,,,61,"36,168",Michel Vorm,3-5-2,Mike Dean,Match Report,,2017-2018,2017-2018,2017-2018
120,2017-10-28,12:30 ,Premier League,Matchweek 10,Sat,Away,L,0,1,Manchester Utd,1.2,0.8,55,"75,034",Hugo Lloris,3-5-1-1,Jonathan Moss,Match Report,,2017-2018,2017-2018,2017-2018
121,2017-11-01,19:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,es Real Madrid,2.3,2.2,37,"83,782",Hugo Lloris,3-5-1-1,Cüneyt Çakιr,Match Report,,2017-2018,2017-2018,2017-2018
122,2017-11-05,12:00 ,Premier League,Matchweek 11,Sun,Home,W,1,0,Crystal Palace,0.9,0.8,68,"65,270",Harry Kane,3-5-1-1,Kevin Friend,Match Report,,2017-2018,2017-2018,2017-2018
123,2017-11-18,12:30 ,Premier League,Matchweek 12,Sat,Away,L,0,2,Arsenal,0.7,2.1,57,"59,530",Hugo Lloris,3-5-2,Mike Dean,Match Report,,2017-2018,2017-2018,2017-2018
124,2017-11-21,20:45 ,Champions Lg,Group stage,Tue,Away,W,2,1,de Dortmund,1.1,1.1,51,"65,849",Hugo Lloris,3-4-1-2,Clément Turpin,Match Report,,2017-2018,2017-2018,2017-2018
125,2017-11-25,15:00 ,Premier League,Matchweek 13,Sat,Home,D,1,1,West Brom,1.8,0.7,72,"65,905",Hugo Lloris,3-5-2,Mike Jones,Match Report,,2017-2018,2017-2018,2017-2018
126,2017-11-28,19:45 ,Premier League,Matchweek 14,Tue,Away,L,1,2,Leicester City,2.4,0.6,62,"31,950",Hugo Lloris,3-5-2,Anthony Taylor,Match Report,,2017-2018,2017-2018,2017-2018
127,2017-12-02,15:00 ,Premier League,Matchweek 15,Sat,Away,D,1,1,Watford,0.8,0.4,50,"20,278",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,2017-2018,2017-2018,2017-2018
128,2017-12-06,19:45 ,Champions Lg,Group stage,Wed,Home,W,3,0,cy APOEL FC,2.3,0.6,65,"42,679",Michel Vorm,4-1-4-1,Slavko Vinčić,Match Report,,2017-2018,2017-2018,2017-2018
129,2017-12-09,15:00 ,Premier League,Matchweek 16,Sat,Home,W,5,1,Stoke City,3.6,0.5,71,"62,202",Hugo Lloris,4-2-3-1,Roger East,Match Report,,2017-2018,2017-2018,2017-2018
